FID,id,geom,listaan,kartalle,alakategoria,hankenumero,hanke,hanke_ruotsi,hanke_englanti,sisalto,sisalto_ruotsi,sisalto_englanti,omistaja,laajuus_m2,kust_arvio_me,alkaavuosi,paattyyvuosi,rakentaminen_alkaa,valmistuminen,uudisrakentaminen,korjausrakentaminen,katuosoite,p,i,paivitetty_tietopalveluun,datanomistaja
Helsingin_kaupungin_rakennushankkeet_2018.1,1,POINT (6671512.17 25497348.93),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170024,Päiväkoti Kaivopuisto,Daghemmet Kaivopuisto,Day-care centre Kaivopuisto,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,783,2.84,2018,2019,2018,2019,EPÄTOSI,TOSI,Puistokatu 6,6671512.17,25497348.93,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.2,2,POINT (6675516.75 25496645.44),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170025,Alppilan lukio,Alppilan lukio,Alppilan lukio,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,8 757,22.27,2017,2018,2017,2018,EPÄTOSI,TOSI,Viipurinkatu 21,6675516.75,25496645.44,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.3,3,POINT (6676814 25498598),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170026,"Arabian peruskoulu, leikkipuisto ja nuorisotila","Arabian peruskoulu, lekpark och ungdomslokal","Arabian peruskoulu, playground and youth centre",Julkisivujen peruskorjaus,"Gamla delen, ombyggnad av fasaden","Old part, rebuilding of the façade",Kaupunkiympäristön toimiala,,2.95,2017,2018,2017,2018,EPÄTOSI,TOSI,Berliininkatu 4-6,6676814,25498598,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.4,4,POINT (6676989.67 25507718.86),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170027,"Mustakiven korttelitalo, päiväkoti ja koulu","Svartstens kvartershus, daghem och skola","Mustakivi community centre, day-care centre and school",Aineopetusluokkien (7-9 –luokka-asteille) rakentaminen,Byggande av ämnesstudieklasser (åk 7–9),Construction of intermediate studies class rooms (grades 7–9),Kaupunkiympäristön toimiala,"1 700,00",4,2018,2019,2018,2019,EPÄTOSI,TOSI,Pohjavedenkatu 3,6676989.67,25507718.86,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.5,5,POINT (6677072.24 25492892.24),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170028,Munkkivuoren ala-aste,Munkkivuoren ala-aste,Munkkivuoren ala-aste,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,4 474,10.62,2017,2019,2017,2019,EPÄTOSI,TOSI,Raumantie 2,6677072.24,25492892.24,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.6,6,POINT (6677102.374 25503322.85),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170029,Stadin ammattiopisto,Yrkesinstitutet Stadin ammattiopisto,Helsinki Vocational College,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,18 131,46.27,2015,2018,2015,2018,EPÄTOSI,TOSI,Prinsessantie 2,6677102.374,25503322.85,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.7,7,POINT (6678483 25505095),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170030,Botby grundskola,Botby grundskola,Botby grundskola,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,7 857,17.67,2017,2019,2017,2019,EPÄTOSI,TOSI,Kukkaniityntie 2,6678483,25505095,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.8,8,POINT (6682124.59 25491895.25),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170031,"Pihkapuiston ala-aste, päiväkoti ja leikkipuisto Kaunokki","Pihkapuiston ala-aste, daghem och lekpark Kaunokki","Pihkapuiston ala-aste, day-care centre and playground Kaunokki",Vesikaton korjaus,Reparation av yttertak,Roof repairs,Kaupunkiympäristön toimiala,,1,2018,2018,2018,2018,EPÄTOSI,TOSI,Tuohipolku 10,6682124.59,25491895.25,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.9,9,POINT (6673475.63 25501846.38),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170032,Päiväkoti Borgströminmäki,Daghemmet Borgströminmäki,Day-care centre Borgströminmäki,Uudisrakennus,Nybyggnad,New building,Kaupunkiympäristön toimiala,1 595,6.23,2017,2018,2017,2018,TOSI,EPÄTOSI,Föglönkuja 1,6673475.63,25501846.38,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.10,10,POINT (6673777.22 25502391.4),TOSI,TOSI,Kasvatuksen ja koulutuksen toimiala,X20170033,Päiväkoti Yliskylä,Daghemmet Yliskylä,Day-care centre Yliskylä,Uudisrakennus (korvaava uudisrakennus),Nybyggnad (ersättande nybyggnad),New building (substitute new building),Kaupunkiympäristön toimiala,2 513,9.16,2017,2018,2017,2018,TOSI,EPÄTOSI,Köökarinkuja 5,6673777.22,25502391.4,2018-04-16,Helsinki/Kanslia
